Personne A,F,18,L1,14.35,AUCUNE
Personne B,F,23,M2,16.1,FOOT-BASKET-CID
Personne C,F,17,L1,16.97,CID-FOOT
Personne D,M,23,L1,13.63,FOOT-BASKET-CID
Personne E,M,22,L2,18.11,BASKET-CID
Personne F,M,23,M1,19.78,BASKET
Personne G,M,20,M1,15.82,CID
Personne H,M,20,M2,16.34,BASKET-FOOT
Personne I,F,20,M1,18.65,AUCUNE
Personne J,F,19,L3,10.56,AUCUNE
Personne K,M,24,M2,13.21,BASKET-CID-FOOT
Personne L,M,24,L1,10.16,CID-FOOT-BASKET
Personne M,M,23,M1,13.50,CID-BASKET
Personne N,M,23,M1,12.20,BASKET-FOOT
Personne O,F,23,L2,11.73,FOOT
Personne P,F,24,L3,10.14,BASKET
Personne Q,F,23,L2,13.43,BASKET-CID-FOOT
Personne R,F,22,L2,13.44,BASKET
Personne S,F,16,L3,11.30,CID
Personne T,M,21,M1,12.40,FOOT
Personne U,M,16,L2,15.96,CID-FOOT-BASKET
Personne V,F,21,M1,11.91,AUCUNE
Personne W,F,16,L3,11.86,BASKET
Personne X,M,17,L1,19.87,FOOT-BASKET
Personne Y,M,24,L2,11.49,BASKET-FOOT-CID
Personne Z,F,16,M1,15.36,AUCUNE
Personne a,M,21,L1,18.32,AUCUNE
Personne b,M,23,M2,13.31,AUCUNE
Personne c,M,20,L3,14.4,CID
Personne d,F,18,M1,13.0,AUCUNE
Personne e,M,18,M1,11.4,AUCUNE
Personne f,F,20,L1,19.14,BASKET-FOOT
Personne g,F,16,M1,16.55,BASKET-FOOT
Personne h,F,17,M2,13.47,CID-BASKET
Personne i,F,19,L3,13.90,CID-FOOT-BASKET
Personne j,M,18,M1,15.83,AUCUNE
Personne k,M,16,L3,13.59,CID-BASKET-FOOT
Personne l,M,21,L2,15.71,AUCUNE
Personne m,F,17,L2,19.16,AUCUNE
Personne n,M,16,L2,10.16,FOOT-BASKET
Personne o,F,23,L3,16.37,CID-BASKET
Personne p,F,20,L1,16.92,FOOT
Personne q,M,19,L2,10.79,AUCUNE
Personne r,F,22,M2,19.88,FOOT
Personne s,F,23,M1,18.70,FOOT
Personne t,M,20,L3,18.46,BASKET-CID-FOOT
Personne u,F,17,L1,12.16,AUCUNE
Personne v,M,23,M1,18.27,BASKET-CID
Personne w,M,21,L1,14.41,AUCUNE
Personne x,F,21,M1,17.25,CID-FOOT
Personne y,F,22,L1,11.81,BASKET-CID
Personne z,M,20,L1,11.62,BASKET-FOOT
Personne 0,M,16,L2,16.26,AUCUNE
Personne 1,F,16,M1,17.73,AUCUNE
Personne 2,M,23,L1,11.69,AUCUNE
Personne 3,F,17,L3,15.92,CID
Personne 4,M,17,M1,18.48,BASKET
Personne 5,M,23,L3,11.16,AUCUNE
Personne 6,F,21,M1,17.95,FOOT-CID-BASKET
Personne 7,M,23,L3,10.51,CID-BASKET-FOOT
Personne 8,F,23,L1,17.62,AUCUNE
Personne 9,M,21,L2,13.60,BASKET-FOOT-CID
